Column Name,Description,Expected Values,Notes:
Unique Key,Unique identifier of a Service Request (SR) in the open data set,,This is NOT the Service Request (SR) # provided to the initiating customer.  SR #s are not available in this data set.  
Created Date,Date SR  was created,Date in format MM/DD/YY HH:MM:SS AM/PM,
Closed Date,Date SR was closed by responding agency,Date in format MM/DD/YY HH:MM:SS AM/PM,
Agency,Acronym of responding City Government Agency,,
Agency Name,Full Agency name of responding City Government Agency,,
Complaint Type,This is the fist level of a hierarchy identifying the topic of the incident or condition. Complaint Type may have a corresponding Descriptor (below) or may stand alone.,,
Descriptor,"This is  associated to the Complaint Type, and provides further detail on the incident or condition. Descriptor values are dependent on the Complaint Type, and are not always required in SR. ",,
Status,Status of SR submitted ,"Assigned, Cancelled, Closed, Pending, +",Prior column indicates most frequent
Due Date,Date when responding agency is expected to update the SR.  This is based on the Complaint Type and internal Service Level Agreements (SLAs).,Date in format MM/DD/YY HH:MM:SS AM/PM,
Resolution Action Updated Date,Date when responding agency last updated the SR.,Date in format MM/DD/YY HH:MM:SS AM/PM,
Resolution Description,Describes the last action taken on the SR by the responding agency.  May describe next or future steps. ,,
Location Type,Describes the type of location used in the address information ,,
Incident Zip,"Incident location zip code, provided by geo validation.",,
Incident Address,House number of incident address provided by submitter.,,
Street Name,Street name of incident address provided by the submitter,,
Cross Street 1,First Cross street based on the geo validated incident location,,
Cross Street 2,Second Cross Street based on the geo validated incident location,,
Intersection Street 1,First intersecting street based on geo validated incident location,,
Intersection Street 2,Second intersecting street based on geo validated incident location,,
Address Type,Type of incident location information available.,Values: Address; Block face; Intersection; LatLong; Placename,
City,City of the incident location provided by geovalidation.,,
Landmark,If the incident location is identified as a Landmark the name of the landmark will display here,,
Facility Type,"If available, this field describes the type of city facility associated to the SR",,
Community Board,Provided by geovalidation.,,
BBL,"Borough Block and Lot, provided by geovalidation.  Parcel number to identify the location of location of buildings and properties in NYC.",,
Borough,Provided by the submitter and confirmed by geovalidation.,,
X Coordinate (State Plane),"Geo validated, X coordinate of the incident location. ",,
Y Coordinate (State Plane),"Geo validated,  Y coordinate of the incident location. ",,
Open_Data_Channel_Type,"Indicates how the SR was submitted to 311.  i.e. By Phone, Online, Mobile, Other or Unknown. ","PHONE, ONLINE, MOBILE, OTHER and UNKNOWN",Phone - submitted by a 311 call center agent on behalf of a customer.  Online - submitted through the 311 mobile app.  Other - submitted by another city agency or source.  Unknown - unable to determine the source channel of the SR.  
Latitude,Geo based Lat of the incident location,,
Longitude,Geo based Long of the incident location,,
Location,Combination of the geo based lat & long of the incident location,,
Park Facility Name,"If the incident location is a Parks Dept facility, the Name of the facility will appear here",,
Park Borough,The borough of incident if it is a Parks Dept facility,,
Vehicle Type,"If the incident is a taxi, this field describes the type of TLC vehicle. ",Car Service; Commuter Van; Green Taxi,
Taxi Company Borough,"If the incident is identified as a taxi, this field will display the borough of the taxi company. ",,
Taxi Pick Up Location,"If the incident is identified as a taxi, this field displays the taxi pick up location",Grand Central Station; Intersection; JKF Airport; La Guardia Airport; New York-Penn Station; Other; Port Authority Bus Terminal,
Bridge Highway Name,"If the incident is identified as a Bridge/Highway, the name will be displayed here.",,
Bridge Highway Direction,"If the incident is identified as a Bridge/Highway, the direction where the issue took place would be displayed here.",,
Road Ramp,If the incident location was Bridge/Highway this column differentiates if the issue was on the Road or the Ramp.,Roadway; Ramp,
Bridge Highway Segment,Additional information on the section of the Bridge/Highway were the incident took place.,,
